target,OverallQual,GrLivArea,Neighborhood,x1stFlrSF,TotalBsmtSF,BsmtFinSF1,LotArea,GarageCars,MSSubClass,GarageArea,YearRemodAdd,YearBuilt
11.83500896413934,5,816,Mitchel,816,816,816,6600,2,_20,816,2003,1982
12.820987977820543,8,2028,Timber,2028,1868,1460,11443,3,_20,880,2006,2005
12.100712129872347,7,1509,Gilbert,807,783,0,7875,2,_60,393,2003,2003
12.24288661865289,6,1686,NWAmes,1686,1686,625,10240,2,_20,612,1980,1980
11.898187865760873,5,1120,Mitchel,1120,1120,206,8402,0,_20,0,2007,2007
11.59910316121128,5,1057,NAmes,1057,1057,731,7922,1,_20,246,2007,1953
12.061046873479915,6,1291,ClearCr,1291,1291,1003,2887,2,_120,431,1997,1996
11.969717200243734,5,1188,Mitchel,1188,1188,593,26142,1,_20,312,1962,1962
12.154779351142624,5,1582,ClearCr,1582,1624,812,36500,2,_20,390,1964,1964
12.066810578196666,7,1682,NWAmes,1682,1304,0,10400,2,_20,530,1970,1970
12.3570755190667,8,1489,Somerst,1489,1489,0,11216,2,_20,776,2006,2006
10.542706391070515,3,968,OldTown,600,600,0,5925,0,_50,0,1950,1910
11.728036844587177,5,1750,OldTown,1089,636,0,9000,1,_70,240,1991,1880
11.786762130599955,5,1039,Sawyer,1039,1039,841,11625,2,_190,504,1965,1965
11.951180395901384,5,1128,NAmes,1128,1120,776,8700,2,_20,525,1963,1963
11.803353763090035,5,1040,NAmes,1040,1040,369,7560,1,_20,286,1959,1959
11.842229212112828,6,1196,NAmes,1196,1196,616,9000,1,_20,297,1956,1956
12.01974306733868,5,1385,NAmes,910,910,507,8520,2,_50,720,1952,1952
12.004568269319446,5,964,Crawfor,964,876,713,13360,2,_30,432,2006,1921
11.99535161421452,5,1287,NAmes,1287,1063,72,9830,2,_20,576,2006,1959
11.73526869611367,5,1869,OldTown,1188,1088,1088,8820,2,_50,456,1996,1890
12.154779351142624,6,1888,NAmes,1888,1517,247,16492,2,_20,578,2002,1966
11.982929094215963,6,1251,NAmes,1251,1251,553,8800,1,_20,461,1964,1964
12.16597955196373,5,1838,Gilbert,734,732,0,21930,2,_60,372,2005,2005
12.716402146247477,9,2599,NoRidge,1422,1393,0,14774,3,_60,779,1999,1999
11.938193200374572,5,1306,NAmes,1306,992,860,8712,1,_20,756,2000,1957
12.323855681186558,7,1733,Gilbert,847,847,0,12394,2,_60,433,2003,2003
11.296012463406656,4,912,BrkSide,672,0,0,6240,0,_50,0,1950,1947
12.560244459250788,8,2872,NoRidge,2129,1683,700,10678,2,_50,541,2000,1992
11.77528972943772,7,1709,Edwards,970,970,0,2522,2,_160,380,2004,2004
12.0271851854705,7,1248,Blmngtn,1248,1248,16,3010,2,_120,438,2006,2005
12.206072645530174,6,1700,CollgCr,1700,1682,340,9135,2,_20,544,2003,2003
11.56171562913966,6,1258,Edwards,698,560,204,9060,1,_50,280,1950,1939
12.165250651009918,7,1431,CollgCr,1431,1431,560,9017,2,_20,666,1999,1999
11.84939770159144,5,936,OldTown,936,936,936,7200,2,_90,672,1980,1980
12.013700752882718,6,1350,NWAmes,1350,1064,0,10140,2,_20,478,1974,1974
12.141534124392605,6,1498,Gilbert,691,691,592,13031,2,_60,409,1996,1995
11.686878772093667,5,1367,Edwards,961,861,241,8405,1,_50,384,1950,1900
12.093687514935382,7,1414,Blmngtn,1414,1375,0,3072,2,_120,398,2004,2004
12.09458226949681,6,1484,Gilbert,783,783,0,10237,2,_60,393,2007,2005
12.14950229404178,8,1228,StoneBr,1228,1228,767,4671,2,_120,472,1989,1988
10.868568448579715,4,693,OldTown,693,693,0,4118,0,_30,0,1950,1941
11.686878772093667,5,1728,NAmes,1728,1728,40,10624,1,_90,352,1964,1964
11.626254150277232,6,1310,OldTown,865,617,617,7000,1,_50,398,1950,1924
11.379394072345706,3,1040,NAmes,1040,0,0,8544,2,_90,400,1950,1949
12.46997418931655,7,1720,NoRidge,1720,1720,919,10593,2,_20,527,1996,1996
12.190959007720126,7,3082,SWISU,1687,824,523,15863,2,_75,672,1970,1920
12.450977688625896,8,1717,NridgHt,1717,1709,0,11146,3,_20,908,2006,2006
12.127570417375216,7,1200,SawyerW,1200,1176,833,10083,2,_20,555,2003,2003
11.695247021764184,5,912,NAmes,912,912,111,7535,1,_20,297,1985,1958
11.845819880243557,6,1489,SWISU,944,778,0,9900,1,_50,240,1950,1940
12.513189630620564,7,2196,SawyerW,2196,2158,485,14684,3,_20,701,1991,1990
12.577636201962656,8,1660,Somerst,1660,1660,1220,10182,2,_20,500,2006,2006
12.301382825334498,8,1915,SawyerW,927,908,789,10041,2,_60,506,1992,1992
12.2783933071098,6,1656,NAmes,1656,1080,639,31770,2,_20,528,1960,1960
12.165250651009918,7,2022,ClearCr,1156,1160,392,10005,2,_60,505,1977,1977
12.498742259492994,8,2217,NAmes,2217,2217,351,15865,2,_20,621,1970,1970
12.373703486914124,8,1788,CollgCr,1788,1753,0,11838,2,_20,522,2001,2001
11.964001084330445,7,1601,NWAmes,1601,1271,704,11880,2,_20,478,1978,1978
12.138863895836725,6,1710,SawyerW,832,832,426,9291,2,_60,506,1993,1993
12.352335152508426,6,1764,CollgCr,928,928,821,15426,2,_60,470,1997,1997
12.345834587905332,7,1654,CollgCr,1654,1654,986,8125,3,_20,900,2002,2002
12.0015054797889,6,1362,NAmes,1362,1362,288,10197,2,_20,504,1961,1961
11.790557201568507,5,1432,OldTown,768,264,0,9600,2,_70,360,2002,1910
12.858319703517948,7,2696,CollgCr,1282,1264,984,9965,3,_60,792,2007,2007
12.211060187041213,7,1560,Mitchel,1560,1560,0,9196,2,_20,573,2003,2003
12.337100907936575,7,2097,SawyerW,1080,1080,50,11228,3,_60,678,1993,1993
12.106252310247962,6,1690,Gilbert,948,924,0,8063,2,_60,463,2000,2000
11.80894766169701,5,1236,NAmes,1236,1070,360,10011,1,_20,447,1996,1957
11.283512300642425,5,935,BrkSide,779,742,0,9100,1,_40,308,1960,1930
11.884489021402713,6,1958,Crawfor,979,979,484,7136,2,_90,492,1950,1946
12.765688433465597,9,2224,NridgHt,1462,1462,1170,8834,3,_60,738,2005,2004
12.827729194939907,8,1710,NridgHt,1710,1710,1400,13891,3,_20,866,2008,2007
12.190959007720126,7,1725,NWAmes,1040,539,315,11584,2,_60,550,1979,1979
11.94405831982697,5,1416,OldTown,876,876,0,12665,3,_50,720,1950,1915
12.04060820580264,5,1812,NAmes,876,864,540,7590,1,_60,264,1962,1962
11.84939770159144,7,1164,NWAmes,1164,1164,0,9600,2,_20,528,1969,1969
12.279323107269766,7,1547,Somerst,764,756,24,8640,2,_60,614,2009,2009
11.686878772093667,4,948,Edwards,948,948,732,8190,1,_20,280,1954,1954
12.173032791451972,6,2142,NAmes,1182,896,448,13000,1,_60,509,1968,1968
12.144197241812089,5,1728,Mitchel,1728,1728,1606,9297,2,_90,560,1976,1976
11.289781913656018,5,1006,Sawyer,1006,1006,288,9000,0,_20,0,1959,1959
12.345834587905332,6,1811,Crawfor,1811,1073,296,14115,2,_20,470,2004,1956
12.367340793126296,7,2263,NWAmes,1468,795,795,16659,2,_60,539,1994,1977
11.792449349720544,4,1040,Mitchel,1040,1064,633,25286,2,_20,648,1963,1963
11.588960151246226,4,901,OldTown,901,901,0,6000,1,_20,281,2000,1954
12.832011076396668,9,1792,NridgHt,1792,1792,1567,11846,3,_20,874,2004,2003
11.808813773969108,4,1588,ClearCr,1120,0,0,17120,2,_50,680,1959,1959
11.86005499606543,5,1539,BrkSide,1067,927,0,6120,2,_50,576,1950,1936
12.485827127509433,8,1567,Blmngtn,1567,1520,1154,3982,3,_120,648,2006,2006
12.468436909997664,8,2417,NoRidge,1301,1288,0,16059,2,_60,462,1992,1991
12.388394202324127,6,2614,NWAmes,1548,1522,956,10800,2,_60,624,1997,1974
12.431533509799545,7,1372,Somerst,1372,1372,0,8640,2,_20,529,2008,2007
12.371587084007746,7,2256,Gilbert,980,952,300,8795,2,_60,554,2000,2000
11.350406535472452,5,1112,MeadowV,536,536,129,2592,1,_160,336,1976,1976
12.400816722322686,6,2158,Edwards,2158,1202,477,12615,2,_20,576,2001,1950
12.4529327234617,4,1663,ClearCr,1663,1364,1116,53227,2,_20,529,1994,1954
12.618182296357007,8,2810,NoRidge,1453,1453,482,9572,2,_60,750,1990,1990
12.025749091398891,7,1277,NAmes,1277,1277,778,10628,2,_20,526,1970,1970
12.031123843065632,6,1334,NWAmes,1334,1350,686,9650,2,_20,630,1977,1977
12.929991484756872,9,2668,NridgHt,1572,1572,1016,13688,3,_60,726,2004,2003
12.610870864650634,8,2715,NWAmes,1175,1142,575,8963,2,_60,831,1996,1976
12.297785453453374,7,1863,Gilbert,879,879,0,14054,3,_60,660,2006,2006
11.512925464970229,4,1123,IDOTRR,772,732,0,6060,1,_50,264,1950,1939
12.524526376648708,8,1904,NridgHt,1058,1058,546,10927,2,_60,736,2005,2005
11.59910316121128,5,1034,OldTown,735,735,0,10134,1,_50,240,1950,1940
12.371587084007746,7,1949,SawyerW,1062,1050,750,9938,2,_60,574,1994,1993
12.407379502235209,8,1468,Somerst,1468,1468,0,9612,3,_20,898,2009,2008
11.877568578558138,6,848,CollgCr,848,848,685,4435,2,_120,420,2004,2003
11.736069016284436,6,1125,Edwards,1125,1041,631,7200,1,_80,352,1976,1976
11.824079893607152,6,1694,SWISU,1390,1181,423,8400,2,_50,576,1950,1925
12.211060187041213,8,1466,Timber,1466,1466,16,8925,3,_20,610,2007,2007
12.273731294003989,6,1933,Somerst,894,894,0,14598,3,_60,668,2007,2007
11.736069016284436,5,912,Sawyer,912,912,842,8521,1,_20,336,1967,1967
12.531772785169476,6,2144,ClearCr,1444,1444,697,159000,2,_50,389,2006,1958
12.429216196844385,7,2784,NWAmes,1392,1392,790,16692,2,_60,564,1978,1978
12.160028707028768,7,1504,Blmngtn,1504,1346,16,3182,2,_120,437,2006,2005
12.468436909997664,7,1734,CollgCr,1734,1734,1300,11645,2,_20,660,2005,2005
12.00701176473192,7,1482,Gilbert,812,384,0,9125,2,_80,392,1992,1992
12.644327576461327,8,2520,NoRidge,1352,1338,1012,14541,3,_60,796,1993,1993
12.560244459250788,9,1668,CollgCr,1668,1626,1059,11248,3,_20,702,2002,2002
11.759785542901756,6,1362,BrkSide,751,611,0,6155,2,_70,502,1999,1920
11.289781913656018,4,924,Edwards,672,672,348,12180,1,_190,280,1950,1941
11.626254150277232,5,833,Mitchel,833,833,625,8780,0,_20,0,1985,1985
11.56171562913966,5,1376,NAmes,968,768,368,9492,1,_50,240,1950,1941
12.095141084822892,6,1800,Gilbert,1007,982,0,8123,2,_60,463,2000,2000
12.377922902456833,6,2117,NAmes,2117,1205,865,12925,2,_20,550,1970,1970
11.751942365440728,5,1507,NAmes,1507,1075,666,7910,1,_80,404,1960,1960
11.915051671812876,6,1505,NAmes,1505,1505,1024,12160,2,_20,505,1953,1953
12.180754837545884,7,1660,CollgCr,831,831,0,8935,2,_60,493,2002,2002
12.14950229404178,7,1804,Gilbert,1028,994,0,7500,2,_60,442,1999,1999
12.490875577231112,8,1484,Timber,1484,1476,428,9037,2,_20,472,2006,2006
11.982929094215963,7,1252,Somerst,624,600,510,2160,2,_160,462,2000,1999
11.487607656985938,6,1458,NAmes,912,912,0,17503,1,_50,330,1950,1948
11.711776323715394,5,900,Sawyer,900,882,450,9819,1,_20,280,1967,1967
11.842229212112828,5,1056,NAmes,1056,1056,846,8176,1,_20,308,1992,1958
11.904967552746252,5,914,CollgCr,914,870,298,8846,2,_85,576,1996,1996
11.571194373094205,5,2138,OldTown,1075,849,0,8100,2,_75,360,1965,1898
12.254862809699606,7,1908,CollgCr,933,915,642,8750,2,_60,493,1995,1994
11.957611286231677,6,1026,NAmes,1026,1026,439,7930,2,_20,440,2005,1969
12.310432660854415,7,1478,Somerst,1478,1470,578,4403,2,_20,484,2009,2009
11.589886506106357,5,672,Sawyer,672,672,0,10200,1,_30,240,1997,1940
12.28690119819279,7,1836,CollgCr,1836,1860,24,9100,2,_20,484,2005,2004
10.915088464214609,4,1092,IDOTRR,372,0,0,5600,0,_190,0,1950,1930
11.652687407345388,5,1344,BrkSide,896,896,0,6240,1,_50,240,1950,1936
11.896826395162552,6,1062,Mitchel,1062,1029,539,11333,2,_80,539,1976,1976
12.535376392672774,8,1659,StoneBr,1659,1501,1158,5664,2,_120,499,2000,2000
11.018629143155447,1,904,Edwards,904,683,350,10020,0,_30,0,1950,1922
11.856515169360303,4,864,Gilbert,864,864,120,19138,2,_20,400,1951,1951
11.931635799828411,5,1558,IDOTRR,910,910,420,13710,1,_50,282,1950,1950
11.76756768334381,4,1120,Sawyer,1120,1040,932,6970,2,_20,544,1961,1961
